id,name,rating,room,type-of-room,beds,number-of-baths,shared-bath,host-id,host-name,neighbourhood-group,neighbourhood,latitude,longitude,room-type,price,minimum-nights,number-of-reviews,last-review,reviews-per-month,calculated-host-listings-count,availability-365,number-of-reviews-ltm,license
8607519,Home in Madrid,4.68,1,Bedroom,1,1,0,41633971,Cesar,Centro,Cortes,40.41071,-3.69525,Private room,48,2,244,26/11/2023,2.44,3,0,43,NA
6906836,Rental unit in Madrid,4.94,1,Bedroom,1,1,0,2959335,Marta,Chamberí,Arapiles,40.43697,-3.70729,Private room,48,9,32,22/10/2023,0.32,1,217,7,NA
3514869,Home in Madrid,4.67,1,Bedroom,1,1,0,16287439,Maria,Centro,Embajadores,40.41212,-3.69915,Private room,48,25,104,11/11/2023,0.92,2,0,6,NA
3058834,Rental unit in Madrid,4.56,1,Bedroom,1,1,1,9699624,Bruno,Centro,Universidad,40.42529,-3.70588,Private room,48,2,114,29/11/2023,0.98,4,334,17,NA
52100526,Rental unit in Madrid,4.69,1,Bedroom,1,1,1,28964035,Mar,Chamberí,Gaztambide,40.4346,-3.71309,Private room,47,4,32,12/12/2023,1.17,2,65,10,NA
52016271,Rental unit in Madrid,4.96,2,Bedroom,1,1,1,284712459,Ana,Centro,Universidad,40.42321,-3.7051,Private room,47,2,50,29/9/2023,1.83,1,166,28,NA
47004245,Rental unit in Madrid,4.28,1,Studio,2,1,0,224181734,Hugo,Puente de Vallecas,Entrevías,40.39036,-3.67221,Entire home/apt,47,2,81,30/11/2023,2.26,2,300,37,NA
41118170,Rental unit in Madrid,4.34,1,Bedroom,1,1,0,107335103,Amazinn Places,Chamberí,Arapiles,40.43702,-3.7103,Private room,47,1,88,23/11/2023,1.84,115,356,9,NA
40730317,Rental unit in Madrid,4.72,1,Bedroom,3,1,0,19635934,Sara,Centro,Embajadores,40.4101,-3.708,Entire home/apt,47,2,64,12/12/2023,1.33,2,0,56,NA
40538012,Rental unit in Madrid,4.88,1,Bedroom,2,1,1,313993158,Lorenzo Marcelino,Centro,Justicia,40.42039,-3.70127,Private room,47,2,104,6/12/2023,2.14,1,120,18,NA
37770313,Home in Madrid,5,1,Bedroom,1,1,1,285620200,MarisolRamirez,Fuencarral - El Pardo,Valverde,40.49356,-3.68802,Private room,47,1,4,6/3/2022,0.15,1,0,0,NA
23164061,Rental unit in Madrid,4.73,1,Bedroom,1,1,0,14497214,Guillermo,Latina,Cármenes,40.40648,-3.724,Entire home/apt,47,2,62,26/11/2023,0.87,1,79,25,NA
20900488,Rental unit in Madrid,4.88,1,Bedroom,1,1,1,99373514,Lola,Centro,Embajadores,40.41065,-3.70252,Private room,47,3,208,5/12/2023,2.74,4,266,37,NA
